name,jxsi,psc,pp,catsp,cs,cup,pop
Mont-roig del Camp,1827,582,554,313,1276,239,12148
Montseny,159,7,2,16,5,30,332
Móra d'Ebre,1642,310,192,127,304,258,5578
Móra la Nova,1002,199,77,86,122,135,3190
"Morell, el",890,173,127,94,413,121,3530
"Morera de Montsant, la",60,0,2,1,0,7,157
Muntanyola,276,11,13,19,23,41,595
Mura,105,9,2,6,2,29,211
Nalec,60,3,1,0,2,4,93
Naut Aran,244,130,102,50,222,75,1782
Navarcles,2078,460,241,260,383,278,6003
Navàs,2154,339,218,140,235,493,6117
Navata,500,14,17,31,64,85,1262
Navès,127,7,13,2,9,19,280
"Nou de Berguedà, la",75,6,0,10,6,19,150
"Nou de Gaià, la",210,15,13,12,37,25,548
Nulles,182,8,19,11,22,26,453
Odèn,149,1,7,1,5,6,267
Òdena,909,335,160,127,295,142,3624
Ogassa,119,6,3,6,10,13,245
Olèrdola,1111,217,116,143,243,202,3579
Olesa de Bonesvalls,358,163,88,125,218,61,1735
Olesa de Montserrat,4746,1648,824,1503,2728,1281,23543
Oliana,811,66,60,28,61,76,1870
Oliola,111,0,8,6,11,10,235
Olius,417,24,15,19,43,40,902
Olivella,545,225,174,165,407,135,3609
Olost,603,23,46,10,31,100,1186
Olot,11848,1473,824,613,1223,1443,33913
"Oluges, les",75,0,8,2,4,8,158
Olvan,404,32,33,15,14,50,876
"Omellons, els",82,10,29,10,16,7,232
"Omells de na Gaia, els",71,0,5,1,4,11,141
Ordis,158,10,8,0,10,39,380
Organyà,353,50,50,9,20,38,841
Orís,165,4,9,8,9,22,303
Oristà,326,3,19,3,9,27,557
Orpí,78,0,2,5,0,14,131
Òrrius,292,16,13,19,32,70,690
Os de Balaguer,431,34,29,24,50,57,1008
Osor,210,8,10,8,7,33,452
Ossó de Sió,103,4,12,2,14,10,211
Pacs del Penedès,315,47,37,40,71,43,892
Palafolls,1958,647,390,560,1122,343,9065
Palafrugell,5307,1370,679,487,1486,761,22763
Palamós,5207,969,590,379,1572,650,17805
"Palau d'Anglesola, el",928,43,46,41,91,117,2135
Palau de Santa Eulàlia,42,5,1,6,4,5,98
Palau-sator,153,2,2,3,7,20,305
Palau-saverdera,388,29,39,18,92,28,1437
Palau-solità i Plegamans,3474,990,625,862,1823,602,14454
"Pallaresos, els",873,327,193,246,671,214,4479
Pallejà,2007,1047,443,785,1631,431,11253
"Palma d'Ebre, la",204,17,4,12,3,21,371
"Palma de Cervelló, la",971,184,85,111,263,241,3002
Palol de Revardit,251,8,7,5,15,21,474
Pals,862,113,41,36,97,97,2533
"Papiol, el",1084,304,127,203,363,238,4023
Pardines,94,1,3,1,0,6,155
Parets del Vallès,3526,1673,762,1282,2460,907,18733
Parlavà,239,4,4,2,8,27,410
Passanant i Belltall,94,3,2,8,2,23,154
Pau,171,7,17,2,30,17,569
Paüls,236,71,19,12,13,24,596
Pedret i Marzà,68,3,13,7,13,8,189
Penelles,226,7,8,5,15,15,504
Perafita,197,2,10,6,6,31,407
Perafort,270,65,41,56,186,47,1287
"Pera, la",214,5,2,4,12,34,467
Peralada,716,47,49,30,110,94,1859
Peramola,161,14,14,2,5,22,349
"Perelló, el",1118,100,42,34,42,81,3155
Piera,2991,1009,686,824,1645,664,15000
"Piles, les",87,6,4,5,5,28,214
Pineda de Mar,4932,2455,1517,1050,2593,779,25948
"Pinell de Brai, el",351,69,59,43,18,94,1076
Pinell de Solsonès,107,2,16,0,1,13,207
Pinós,128,0,10,6,2,29,302
Pira,191,18,8,18,16,33,480
"Pla del Penedès, el",466,45,21,34,54,136,1223
"Pla de Santa Maria, el",828,70,85,72,201,126,2344
"Planes d'Hostoles, les",836,26,25,14,29,76,1694
Planoles,137,7,2,7,1,35,300
"Plans de Sió, els",274,11,15,8,17,33,560
"Poal, el",292,11,44,8,49,15,656
"Pobla de Cérvoles, la",88,8,6,8,8,27,220
"Pobla de Claramunt, la",670,163,63,76,140,141,2186
"Pobla de Lillet, la",531,90,23,24,28,68,1155
"Pobla de Mafumet, la",453,184,161,117,539,102,3420
"Pobla de Massaluca, la",135,21,8,6,21,6,354
"Pobla de Montornès, la",545,171,142,175,345,81,2860
"Pobla de Segur, la",1137,151,58,63,87,167,3012
Poboleda,157,7,1,8,5,48,361
Polinyà,1110,820,330,746,1268,205,8238
"Pont d'Armentera, el",197,21,22,18,28,28,561
"Pont de Bar, el",71,1,1,0,1,19,172
Pont de Molins,168,15,23,7,53,35,529
"Pont de Suert, el",466,227,97,99,177,141,2318
"Pont de Vilomara i Rocafort, el",664,460,151,184,524,127,3780
Pontils,56,15,5,1,4,4,123
Pontons,124,15,62,11,19,31,477
Pontós,80,2,14,8,15,30,223
Ponts,1042,68,91,17,81,97,2701
Porqueres,2177,109,78,69,147,255,4529
Porrera,187,18,6,16,3,73,461
Portbou,303,141,65,33,97,51,1214
"Port de la Selva, el",381,34,19,12,52,63,980
"Portella, la",231,19,13,14,31,22,750
Pradell de la Teixeta,95,8,3,3,1,14,181
Prades,288,40,6,9,9,28,626
Prat de Comte,67,11,15,6,7,16,164
"Prat de Llobregat, el",6803,7309,3417,6233,8392,2097,62866
Pratdip,228,30,24,5,22,36,685
Prats de Lluçanès,1342,83,81,26,46,120,2624
"Prats de Rei, els",256,16,10,13,10,19,537
Prats i Sansor,97,4,20,5,14,23,248
Preixana,161,2,27,8,18,35,405
Preixens,181,7,21,14,34,23,450
Premià de Dalt,2753,711,501,356,1210,409,10311
Premià de Mar,6471,1730,1173,1449,2868,1583,28163
"Preses, les",855,50,36,36,39,90,1772
Prullans,117,4,2,3,5,5,209
Puigcerdà,2124,331,393,157,795,287,8761
Puigdàlber,197,14,13,9,41,37,532
Puiggròs,125,10,8,6,6,13,296
Puigpelat,286,45,37,27,112,47,1083
Puig-reig,1831,179,137,66,113,214,4207
Puigverd d'Agramunt,90,2,5,6,13,23,259
Puigverd de Lleida,439,97,63,34,106,66,1411
Pujalt,91,4,16,2,2,13,198
"Quar, la",25,2,2,1,0,2,57
Quart,1274,167,118,88,314,172,3441
Queralbs,100,1,2,2,6,13,182
Querol,121,43,35,39,53,26,550
Rabós,88,0,2,6,6,10,182
Rajadell,219,27,27,19,24,29,528
Rasquera,344,31,10,13,10,57,858
Regencós,123,12,9,8,9,10,291
Rellinars,278,43,26,45,34,30,726
Renau,40,6,1,7,8,22,141
Reus,19557,6145,5249,3059,12622,4271,104962
Rialp,249,21,21,15,19,52,667
"Riba, la",239,18,19,17,42,34,601
Riba-roja d'Ebre,367,123,66,70,65,43,1195
Ribera d'Ondara,209,6,28,8,27,25,420
Ribera d'Urgellet,333,27,27,23,31,44,963
